ts, default broker, SPOT, COLDPower18, AgentUDE, Bunnie, total
359, 57519, 0, 0, 0, 0, 57519
360, 57519, 0, 0, 0, 0, 57519
361, 6869, 248, 0, 26886, 23516, 57519
367, 6846, 247, 0, 26883, 23543, 57519
373, 6687, 247, 0, 29362, 21223, 57519
379, 6821, 246, 0, 32165, 18287, 57519
385, 6793, 95, 0, 35030, 15601, 57519
391, 6750, 97, 0, 36841, 13831, 57519
397, 6861, 97, 0, 37371, 13190, 57519
403, 6841, 97, 0, 10810, 39771, 57519
409, 6906, 96, 0, 11369, 39148, 57519
415, 6905, 98, 0, 12472, 38044, 57519
421, 6892, 98, 0, 12625, 37904, 57519
427, 6824, 98, 0, 13410, 37187, 57519
433, 6873, 208, 0, 13910, 36528, 57519
439, 6877, 207, 0, 14449, 35986, 57519
445, 6798, 207, 0, 5587, 44927, 57519
451, 6619, 208, 0, 6066, 44626, 57519
457, 6658, 209, 0, 6805, 43847, 57519
463, 6710, 208, 0, 7250, 43351, 57519
469, 6836, 208, 0, 8657, 41818, 57519
475, 6883, 187, 0, 9392, 41057, 57519
481, 6891, 185, 0, 10086, 40357, 57519
487, 6920, 182, 0, 885, 49532, 57519
493, 6920, 151, 0, 1009, 49439, 57519
499, 6941, 151, 0, 1746, 48681, 57519
505, 6921, 121, 0, 2131, 48346, 57519
511, 6937, 122, 0, 2426, 48034, 57519
517, 6933, 122, 0, 2709, 47755, 57519
523, 6851, 93, 0, 3253, 47322, 57519
529, 6887, 93, 0, 308, 50231, 57519
535, 6888, 94, 0, 298, 50239, 57519
541, 6854, 95, 0, 300, 50270, 57519
547, 6930, 94, 0, 311, 50184, 57519
553, 6945, 94, 0, 301, 50179, 57519
559, 6897, 95, 0, 441, 50086, 57519
565, 6693, 95, 0, 430, 50301, 57519
571, 6659, 98, 0, 69, 50693, 57519
577, 6689, 98, 0, 70, 50662, 57519
583, 6812, 98, 0, 69, 50540, 57519
589, 6896, 95, 0, 307, 50221, 57519
595, 6931, 95, 0, 307, 50186, 57519
601, 6847, 91, 0, 314, 50267, 57519
607, 6881, 92, 0, 323, 50223, 57519
613, 6857, 91, 0, 36, 50535, 57519
619, 6804, 92, 0, 589, 50034, 57519
625, 6787, 90, 0, 1038, 49604, 57519
631, 6818, 91, 0, 984, 49626, 57519
637, 6702, 90, 0, 1072, 49655, 57519
643, 6703, 90, 0, 1009, 49717, 57519
649, 6687, 101, 0, 1008, 49723, 57519
655, 6796, 101, 0, 23, 50599, 57519
661, 6815, 93, 0, 33, 50578, 57519
667, 6793, 93, 0, 39, 50594, 57519
673, 6813, 92, 0, 190, 50424, 57519
679, 6786, 92, 0, 195, 50446, 57519
685, 6873, 93, 0, 197, 50356, 57519
691, 6847, 95, 0, 195, 50382, 57519
697, 6867, 95, 0, 201, 50356, 57519
703, 6876, 95, 0, 499, 50049, 57519
709, 6789, 93, 0, 1388, 49249, 57519
715, 6638, 92, 0, 1654, 49135, 57519
721, 6788, 91, 0, 1941, 48699, 57519
727, 6812, 91, 0, 1936, 48680, 57519
733, 6691, 92, 0, 2327, 48409, 57519
739, 6708, 92, 0, 539, 50180, 57519
745, 6717, 92, 0, 349, 50361, 57519
751, 6783, 70, 0, 363, 50303, 57519
757, 6841, 52, 0, 441, 50185, 57519
763, 6877, 45, 0, 447, 50150, 57519
769, 6906, 42, 0, 703, 49868, 57519
775, 6940, 38, 0, 705, 49836, 57519
