ts, default broker, SPOT, COLDPower18, AgentUDE, Bunnie, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 7006, 110, 0, 27851, 22544, 57511
367, 6866, 107, 0, 27859, 22679, 57511
373, 6873, 98, 0, 30774, 19766, 57511
379, 6874, 100, 0, 33654, 16883, 57511
385, 6849, 95, 0, 35369, 15198, 57511
391, 6892, 95, 0, 36989, 13535, 57511
397, 6806, 95, 0, 38557, 12053, 57511
403, 6781, 166, 0, 739, 49825, 57511
409, 6752, 166, 0, 818, 49775, 57511
415, 6755, 166, 0, 965, 49625, 57511
421, 6667, 176, 0, 952, 49716, 57511
427, 6631, 167, 0, 963, 49750, 57511
433, 6682, 166, 0, 1109, 49554, 57511
439, 6707, 166, 0, 1103, 49535, 57511
445, 6809, 137, 0, 25, 50540, 57511
451, 6844, 139, 0, 26, 50502, 57511
457, 6914, 138, 0, 27, 50432, 57511
463, 6929, 128, 0, 26, 50428, 57511
469, 6807, 97, 0, 16, 50591, 57511
475, 6893, 245, 0, 16, 50357, 57511
481, 6881, 242, 0, 18, 50370, 57511
487, 6832, 389, 0, 11, 50279, 57511
493, 6862, 393, 0, 161, 50095, 57511
499, 6789, 399, 0, 164, 50159, 57511
505, 6831, 390, 0, 312, 49978, 57511
511, 6842, 394, 0, 315, 49960, 57511
517, 6918, 341, 0, 313, 49939, 57511
523, 6941, 342, 0, 312, 49916, 57511
529, 6870, 254, 0, 48, 50339, 57511
535, 6940, 256, 0, 37, 50278, 57511
541, 6881, 235, 0, 187, 50208, 57511
547, 6825, 236, 0, 158, 50292, 57511
553, 6783, 238, 0, 455, 50035, 57511
559, 6862, 137, 0, 278, 50234, 57511
565, 6896, 135, 0, 288, 50192, 57511
571, 6872, 93, 0, 166, 50380, 57511
577, 6823, 192, 0, 164, 50332, 57511
583, 6878, 202, 0, 166, 50265, 57511
589, 6892, 203, 0, 265, 50151, 57511
595, 6913, 339, 0, 564, 49695, 57511
601, 6906, 340, 0, 574, 49691, 57511
607, 6900, 487, 0, 568, 49556, 57511
613, 6834, 487, 0, 15, 50175, 57511
619, 6840, 587, 0, 23, 50061, 57511
625, 6832, 536, 0, 25, 50118, 57511
631, 6846, 515, 0, 175, 49975, 57511
637, 6861, 476, 0, 179, 49995, 57511
643, 6839, 368, 0, 183, 50121, 57511
649, 6829, 280, 0, 186, 50216, 57511
655, 6844, 291, 0, 172, 50204, 57511
661, 6893, 241, 0, 174, 50203, 57511
667, 6903, 221, 0, 173, 50214, 57511
673, 6829, 90, 0, 172, 50420, 57511
679, 6721, 91, 0, 321, 50378, 57511
685, 6670, 92, 0, 320, 50429, 57511
691, 6720, 91, 0, 440, 50260, 57511
697, 6755, 93, 0, 101, 50562, 57511
703, 6784, 96, 0, 192, 50439, 57511
709, 6825, 95, 0, 1089, 49502, 57511
715, 6894, 94, 0, 1927, 48596, 57511
721, 6831, 92, 0, 2357, 48231, 57511
727, 6894, 96, 0, 2671, 47850, 57511
733, 6847, 232, 0, 3396, 47036, 57511
739, 6877, 265, 0, 117, 50252, 57511
745, 6885, 400, 0, 116, 50110, 57511
751, 6860, 398, 0, 89, 50164, 57511
757, 6864, 397, 0, 92, 50158, 57511
763, 6908, 395, 0, 239, 49969, 57511
769, 6923, 396, 0, 385, 49807, 57511
775, 6952, 365, 0, 501, 49693, 57511
781, 6719, 319, 0, 212, 50261, 57511
787, 6746, 464, 0, 213, 50088, 57511
793, 6790, 568, 0, 214, 49939, 57511
799, 6861, 479, 0, 214, 49957, 57511
805, 6883, 388, 0, 360, 49880, 57511
811, 6902, 359, 0, 371, 49879, 57511
817, 6853, 361, 0, 372, 49925, 57511
823, 6885, 361, 0, 9, 50256, 57511
829, 6838, 299, 0, 307, 50067, 57511
835, 6777, 269, 0, 313, 50152, 57511
841, 6809, 503, 0, 318, 49881, 57511
847, 6805, 473, 0, 435, 49798, 57511
853, 6872, 536, 0, 581, 49522, 57511
859, 6907, 422, 0, 614, 49568, 57511
865, 6946, 92, 0, 324, 50149, 57511
871, 6899, 93, 0, 477, 50042, 57511
877, 6930, 240, 0, 1336, 49005, 57511
883, 6895, 240, 0, 2000, 48376, 57511
889, 6784, 240, 0, 2607, 47880, 57511
895, 6743, 377, 0, 2866, 47525, 57511
901, 6724, 376, 0, 3120, 47291, 57511
907, 6682, 377, 0, 99, 50353, 57511
913, 6740, 378, 0, 203, 50190, 57511
919, 6702, 321, 0, 160, 50328, 57511
925, 6705, 289, 0, 230, 50287, 57511
931, 6749, 409, 0, 150, 50203, 57511
937, 6805, 378, 0, 153, 50175, 57511
943, 6862, 289, 0, 270, 50090, 57511
949, 6919, 291, 0, 156, 50145, 57511
955, 6925, 273, 0, 127, 50186, 57511
961, 6939, 274, 0, 276, 50022, 57511
967, 6935, 212, 0, 573, 49791, 57511
973, 6758, 155, 0, 834, 49764, 57511
979, 6830, 125, 0, 948, 49608, 57511
985, 6770, 93, 0, 801, 49847, 57511
991, 6796, 93, 0, 11, 50611, 57511
997, 6831, 92, 0, 257, 50331, 57511
1003, 6846, 93, 0, 537, 50035, 57511
1009, 6841, 94, 0, 534, 50042, 57511
1015, 6882, 93, 0, 504, 50032, 57511
1021, 6658, 93, 0, 749, 50011, 57511
1027, 6586, 92, 0, 898, 49935, 57511
1033, 6744, 92, 0, 39, 50636, 57511
1039, 6858, 91, 0, 42, 50520, 57511
1045, 6876, 91, 0, 342, 50202, 57511
1051, 6862, 92, 0, 339, 50218, 57511
1057, 6808, 94, 0, 488, 50121, 57511
1063, 6874, 94, 0, 489, 50054, 57511
1069, 6597, 93, 0, 633, 50188, 57511
1075, 6607, 91, 0, 154, 50659, 57511
1081, 6764, 238, 0, 157, 50352, 57511
1087, 6822, 241, 0, 165, 50283, 57511
1093, 6877, 239, 0, 412, 49983, 57511
