ts, default broker, SPOT, COLDPower18, AgentUDE, Bunnie, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 6925, 0, 0, 27753, 22830, 57508
367, 6725, 82, 0, 27755, 22946, 57508
373, 6852, 93, 0, 31672, 18891, 57508
379, 6867, 92, 0, 35059, 15490, 57508
385, 6918, 94, 0, 37576, 12920, 57508
391, 6886, 93, 0, 38505, 12024, 57508
397, 6668, 94, 0, 39515, 11231, 57508
403, 6721, 93, 0, 6, 50688, 57508
409, 6744, 93, 0, 5, 50666, 57508
415, 6792, 94, 0, 4, 50618, 57508
421, 6869, 94, 0, 5, 50540, 57508
427, 6849, 93, 0, 6, 50560, 57508
433, 6864, 93, 0, 6, 50545, 57508
439, 6755, 95, 0, 5, 50653, 57508
445, 6729, 94, 0, 4, 50681, 57508
451, 6760, 94, 0, 6, 50648, 57508
457, 6775, 97, 0, 7, 50629, 57508
463, 6768, 96, 0, 9, 50635, 57508
469, 6818, 95, 0, 13, 50582, 57508
475, 6846, 95, 0, 12, 50555, 57508
481, 6875, 93, 0, 14, 50526, 57508
487, 6918, 91, 0, 8, 50491, 57508
493, 6946, 91, 0, 9, 50462, 57508
499, 6925, 91, 0, 158, 50334, 57508
505, 6784, 92, 0, 308, 50324, 57508
511, 6821, 93, 0, 278, 50316, 57508
517, 6823, 92, 0, 278, 50315, 57508
523, 6833, 240, 0, 277, 50158, 57508
529, 6905, 238, 0, 13, 50352, 57508
535, 6832, 238, 0, 17, 50421, 57508
541, 6824, 248, 0, 173, 50263, 57508
547, 6757, 238, 0, 148, 50365, 57508
553, 6770, 239, 0, 57, 50442, 57508
559, 6786, 239, 0, 24, 50459, 57508
565, 6727, 123, 0, 24, 50634, 57508
571, 6698, 91, 0, 7, 50712, 57508
577, 6769, 90, 0, 8, 50641, 57508
583, 6691, 240, 0, 7, 50570, 57508
589, 6740, 241, 0, 11, 50516, 57508
595, 6805, 240, 0, 161, 50302, 57508
601, 6727, 240, 0, 160, 50381, 57508
607, 6764, 240, 0, 160, 50344, 57508
613, 6890, 243, 0, 21, 50354, 57508
